"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","Channel-2","SDA","SCL"
69058,196,1000000,0,1,1,1,1,1,1,1
69152,290,1000000,0,1,1,1,1,1,0,1
69157,295,1000000,0,1,1,1,1,1,0,0
69168,306,1000000,0,1,1,1,1,1,0,1
69172,310,1000000,0,1,1,1,1,1,0,0
69173,311,1000000,0,1,1,1,1,1,1,0
69178,316,1000000,0,1,1,1,1,1,1,1
69182,320,1000000,0,1,1,1,1,1,1,0
69183,321,1000000,0,1,1,1,1,1,0,0
69188,326,1000000,0,1,1,1,1,1,0,1
69192,330,1000000,0,1,1,1,1,1,0,0
69193,331,1000000,0,1,1,1,1,1,1,0
69198,336,1000000,0,1,1,1,1,1,1,1
69202,340,1000000,0,1,1,1,1,1,1,0
69203,341,1000000,0,1,1,1,1,1,0,0
69208,346,1000000,0,1,1,1,1,1,0,1
69212,350,1000000,0,1,1,1,1,1,0,0
69218,356,1000000,0,1,1,1,1,1,0,1
69222,360,1000000,0,1,1,1,1,1,0,0
69223,361,1000000,0,1,1,1,1,1,1,0
69228,366,1000000,0,1,1,1,1,1,1,1
69232,370,1000000,0,1,1,1,1,1,1,0
69238,376,1000000,0,1,1,1,1,1,1,1
69242,380,1000000,0,1,1,1,1,1,1,0
69243,381,1000000,0,1,1,1,1,1,0,0
69248,386,1000000,0,1,1,1,1,1,0,1
69252,390,1000000,0,1,1,1,1,1,0,0
69258,396,1000000,0,1,1,1,1,1,0,1
69262,400,1000000,0,1,1,1,1,1,0,0
69263,401,1000000,0,1,1,1,1,1,1,0
69268,406,1000000,0,1,1,1,1,1,1,1
69272,410,1000000,0,1,1,1,1,1,1,0
69273,411,1000000,0,1,1,1,1,1,0,0
69278,416,1000000,0,1,1,1,1,1,0,1
69282,420,1000000,0,1,1,1,1,1,0,0
69288,426,1000000,0,1,1,1,1,1,0,1
69292,430,1000000,0,1,1,1,1,1,0,0
69298,436,1000000,0,1,1,1,1,1,0,1
69302,440,1000000,0,1,1,1,1,1,0,0
69303,441,1000000,0,1,1,1,1,1,1,0
69308,446,1000000,0,1,1,1,1,1,1,1
69312,450,1000000,0,1,1,1,1,1,1,0
69313,451,1000000,0,1,1,1,1,1,0,0
69318,456,1000000,0,1,1,1,1,1,0,1
69322,460,1000000,0,1,1,1,1,1,0,0
69328,466,1000000,0,1,1,1,1,1,0,1
69332,470,1000000,0,1,1,1,1,1,0,0
69333,471,1000000,0,1,1,1,1,1,1,0
69338,476,1000000,0,1,1,1,1,1,1,1
69342,480,1000000,0,1,1,1,1,1,1,0
69343,481,1000000,0,1,1,1,1,1,0,0
69348,486,1000000,0,1,1,1,1,1,0,1
69353,491,1000000,0,1,1,1,1,1,1,1
69511,649,1000000,0,1,1,1,1,1,0,1
69516,654,1000000,0,1,1,1,1,1,0,0
69524,662,1000000,0,1,1,1,1,0,0,0
69526,664,1000000,0,1,1,1,1,1,0,1
69531,669,1000000,0,1,1,1,1,1,1,0
69536,674,1000000,0,1,1,1,1,1,1,1
69541,679,1000000,0,1,1,1,1,1,0,0
69542,680,1000000,0,1,1,1,1,0,0,0
69546,684,1000000,0,1,1,1,1,1,0,1
69551,689,1000000,0,1,1,1,1,1,1,0
69556,694,1000000,0,1,1,1,1,1,1,1
69561,699,1000000,0,1,1,1,1,0,0,0
69566,704,1000000,0,1,1,1,1,1,0,1
69571,709,1000000,0,1,1,1,1,0,0,0
69576,714,1000000,0,1,1,1,1,1,0,1
69581,719,1000000,0,1,1,1,1,1,1,0
69586,724,1000000,0,1,1,1,1,1,1,1
69591,729,1000000,0,1,1,1,1,0,0,0
69596,734,1000000,0,1,1,1,1,1,0,1
69601,739,1000000,0,1,1,1,1,0,0,0
69606,744,1000000,0,1,1,1,1,1,0,1
69611,749,1000000,0,1,1,1,1,0,0,0
69616,754,1000000,0,1,1,1,1,1,0,1
69621,759,1000000,0,1,1,1,1,0,0,0
69626,764,1000000,0,1,1,1,1,1,0,1
69631,769,1000000,0,1,1,1,1,0,0,0
69636,774,1000000,0,1,1,1,1,1,0,1
69641,779,1000000,0,1,1,1,1,0,0,0
69646,784,1000000,0,1,1,1,1,1,0,1
69651,789,1000000,0,1,1,1,1,0,0,0
69656,794,1000000,0,1,1,1,1,1,0,1
69661,799,1000000,0,1,1,1,1,0,0,0
69666,804,1000000,0,1,1,1,1,1,0,1
69671,809,1000000,0,1,1,1,1,0,0,0
69676,814,1000000,0,1,1,1,1,1,0,1
69681,819,1000000,0,1,1,1,1,1,1,0
69686,824,1000000,0,1,1,1,1,1,1,1
69691,829,1000000,0,1,1,1,1,0,0,0
69696,834,1000000,0,1,1,1,1,1,0,1
69701,839,1000000,0,1,1,1,1,0,0,0
69706,844,1000000,0,1,1,1,1,1,0,1
69709,847,1000000,0,1,1,1,1,0,0,1
69711,849,1000000,0,1,1,1,1,1,1,1
69772,910,1000000,0,1,1,1,1,1,0,1
69775,913,1000000,0,1,1,1,1,0,0,1
69777,915,1000000,0,1,1,1,1,0,0,0
69787,925,1000000,0,1,1,1,1,0,0,1
69792,930,1000000,0,1,1,1,1,1,1,0
69797,935,1000000,0,1,1,1,1,1,1,1
69802,940,1000000,0,1,1,1,1,0,0,0
69807,945,1000000,0,1,1,1,1,0,0,1
69812,950,1000000,0,1,1,1,1,1,1,0
69817,955,1000000,0,1,1,1,1,1,1,1
69822,960,1000000,0,1,1,1,1,0,0,0
69827,965,1000000,0,1,1,1,1,0,0,1
69832,970,1000000,0,1,1,1,1,0,0,0
69837,975,1000000,0,1,1,1,1,0,0,1
69842,980,1000000,0,1,1,1,1,1,1,0
69847,985,1000000,0,1,1,1,1,1,1,1
69852,990,1000000,0,1,1,1,1,0,0,0
69857,995,1000000,0,1,1,1,1,0,0,1
69862,1000,1000000,0,1,1,1,1,0,0,0
69867,1005,1000000,0,1,1,1,1,0,0,1
69872,1010,1000000,0,1,1,1,1,1,1,0
69877,1015,1000000,0,1,1,1,1,1,1,1
69882,1020,1000000,0,1,1,1,1,1,1,0
69887,1025,1000000,0,1,1,1,1,1,1,1
69892,1030,1000000,0,1,1,1,1,1,1,0
69897,1035,1000000,0,1,1,1,1,1,1,1
69902,1040,1000000,0,1,1,1,1,1,1,0
69907,1045,1000000,0,1,1,1,1,1,1,1
69912,1050,1000000,0,1,1,1,1,1,1,0
69917,1055,1000000,0,1,1,1,1,1,1,1
69922,1060,1000000,0,1,1,1,1,1,1,0
69927,1065,1000000,0,1,1,1,1,1,1,1
69932,1070,1000000,0,1,1,1,1,1,1,0
69937,1075,1000000,0,1,1,1,1,1,1,1
