"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","Channel-2","SDA","SCL"
71952,2272,1000000,0,0,0,0,0,0,1,0
71953,2273,1000000,0,0,0,0,0,0,0,0
71958,2278,1000000,0,0,0,0,0,0,0,1
71962,2282,1000000,0,0,0,0,0,0,0,0
71968,2288,1000000,0,0,0,0,0,0,0,1
71972,2292,1000000,0,0,0,0,0,0,0,0
71973,2293,1000000,0,0,0,0,0,0,1,0
71978,2298,1000000,0,0,0,0,0,0,1,1
71982,2302,1000000,0,0,0,0,0,0,1,0
71983,2303,1000000,0,0,0,0,0,0,0,0
71988,2308,1000000,0,0,0,0,0,0,0,1
71992,2312,1000000,0,0,0,0,0,0,0,0
71998,2318,1000000,0,0,0,0,0,0,0,1
72002,2322,1000000,0,0,0,0,0,0,0,0
72008,2328,1000000,0,0,0,0,0,0,0,1
72012,2332,1000000,0,0,0,0,0,0,0,0
72018,2338,1000000,0,0,0,0,0,0,0,1
72022,2342,1000000,0,0,0,0,0,0,0,0
72028,2348,1000000,0,0,0,0,0,0,0,1
72032,2352,1000000,0,0,0,0,0,0,0,0
72038,2358,1000000,0,0,0,0,0,0,0,1
72042,2362,1000000,0,0,0,0,0,0,0,0
72048,2368,1000000,0,0,0,0,0,0,0,1
72052,2372,1000000,0,0,0,0,0,0,0,0
72058,2378,1000000,0,0,0,0,0,0,0,1
72062,2382,1000000,0,0,0,0,0,0,0,0
72068,2388,1000000,0,0,0,0,0,0,0,1
72072,2392,1000000,0,0,0,0,0,0,0,0
72078,2398,1000000,0,0,0,0,0,0,0,1
72082,2402,1000000,0,0,0,0,0,0,0,0
72088,2408,1000000,0,0,0,0,0,0,0,1
72092,2412,1000000,0,0,0,0,0,0,0,0
72098,2418,1000000,0,0,0,0,0,0,0,1
72102,2422,1000000,0,0,0,0,0,0,0,0
72108,2428,1000000,0,0,0,0,0,0,0,1
72112,2432,1000000,0,0,0,0,0,0,0,0
72118,2438,1000000,0,0,0,0,0,0,0,1
72122,2442,1000000,0,0,0,0,0,0,0,0
72128,2448,1000000,0,0,0,0,0,0,0,1
72132,2452,1000000,0,0,0,0,0,0,0,0
72133,2453,1000000,0,0,0,0,0,0,1,0
72138,2458,1000000,0,0,0,0,0,0,1,1
72142,2462,1000000,0,0,0,0,0,0,1,0
72143,2463,1000000,0,0,0,0,0,0,0,0
72148,2468,1000000,0,0,0,0,0,0,0,1
72152,2472,1000000,0,0,0,0,0,0,0,0
72158,2478,1000000,0,0,0,0,0,0,0,1
72163,2483,1000000,0,0,0,0,0,0,1,1
74997,5317,1000000,0,0,0,0,0,1,1,1
74998,5318,1000000,0,0,0,0,0,0,1,1
74999,5319,1000000,0,0,0,0,0,1,1,1
75000,5320,1000000,0,0,0,0,0,0,1,1
75007,5327,1000000,0,0,0,0,0,1,1,1
75008,5328,1000000,0,0,0,0,0,0,1,1
75009,5329,1000000,0,0,0,0,0,1,1,1
75440,5760,1000000,0,0,0,0,1,1,1,1
75469,5789,1000000,0,1,1,0,1,1,1,1
75471,5791,1000000,0,1,0,0,1,1,1,1
75472,5792,1000000,0,0,0,0,1,1,1,1
75475,5795,1000000,0,1,0,0,1,1,1,1
75476,5796,1000000,0,1,1,0,1,1,1,1
75478,5798,1000000,0,0,0,0,1,1,1,1
75479,5799,1000000,0,1,1,0,1,1,1,1
75502,5822,1000000,0,1,1,1,1,1,1,1
82915,13235,1000000,0,1,1,1,1,1,0,1
82920,13240,1000000,0,1,1,1,1,1,0,0
82930,13250,1000000,0,1,1,1,1,1,0,1
82935,13255,1000000,0,1,1,1,1,1,1,0
82940,13260,1000000,0,1,1,1,1,1,1,1
82945,13265,1000000,0,1,1,1,1,1,0,0
82950,13270,1000000,0,1,1,1,1,1,0,1
82955,13275,1000000,0,1,1,1,1,1,1,0
82960,13280,1000000,0,1,1,1,1,1,1,1
82965,13285,1000000,0,1,1,1,1,1,0,0
82970,13290,1000000,0,1,1,1,1,1,0,1
82975,13295,1000000,0,1,1,1,1,1,0,0
